날짜,종가,전일비,등락률,거래량,기관,외국인,외국인비율,누적거래량
2023.11.27,"71,300",400,-0.56%,"9,113,857","+861,246","-1,174,062","3,196,030,392",53.54%
2023.11.24,"71,700",700,-0.97%,"6,676,685","+157,051","-547,077","3,197,068,350",53.55%
2023.11.23,"72,400",400,-0.55%,"6,775,614","-649,677","+377,567","3,196,826,286",53.55%
2023.11.22,"72,800",0,0.00%,"11,105,143","-1,602,111","+2,239,913","3,196,356,503",53.54%
2023.11.21,"72,800",100,+0.14%,"9,712,881","+231,620","+1,100,918","3,193,542,766",53.50%
2023.11.21,"72,800",100,+0.14%,"9,712,881","+231,620","+1,100,918","3,193,542,766",53.50%
2023.11.21,"72,800",100,+0.14%,"9,712,881","+231,620","+1,100,918","3,193,542,766",53.50%
2023.11.21,"72,800",100,+0.14%,"9,712,881","+231,620","+1,100,918","3,193,542,766",53.50%
2023.11.20,"72,700",200,+0.28%,"10,610,157","+1,684,072","+520,834","3,192,272,398",53.47%
2023.11.17,"72,500",300,-0.41%,"11,494,644","-508,830","+2,703,620","3,191,428,264",53.46%
2023.11.16,"72,800",600,+0.83%,"15,860,451","-268,617","+4,899,326","3,188,833,172",53.42%
2023.11.15,"72,200","1,400",+1.98%,"20,148,677","+5,189,485","+4,605,687","3,183,411,370",53.33%
2023.11.14,"70,800",400,+0.57%,"9,567,984","+2,738,974","-436,839","3,178,196,288",53.24%
2023.11.14,"70,800",400,+0.57%,"9,567,984","+2,738,974","-436,839","3,178,196,288",53.24%
2023.11.14,"70,800",400,+0.57%,"9,567,984","+2,738,974","-436,839","3,178,196,288",53.24%
2023.11.14,"70,800",400,+0.57%,"9,567,984","+2,738,974","-436,839","3,178,196,288",53.24%
2023.11.13,"70,400",100,-0.14%,"9,246,919","+1,031,726","+328,212","3,176,964,207",53.22%
2023.11.10,"70,500",200,+0.28%,"9,684,347","+43,049","+596,596","3,176,531,146",53.21%
2023.11.09,"70,300",400,+0.57%,"12,301,373","-153,416","+2,174,341","3,176,252,380",53.21%
2023.11.08,"69,900","1,000",-1.41%,"12,901,310","+115,384","-126,312","3,173,259,510",53.16%
2023.11.07,"70,900",0,0.00%,"17,228,731","-1,397,392","+4,133,632","3,173,791,175",53.16%
2023.11.07,"70,900",0,0.00%,"17,228,731","-1,397,392","+4,133,632","3,173,791,175",53.16%
2023.11.07,"70,900",0,0.00%,"17,228,731","-1,397,392","+4,133,632","3,173,791,175",53.16%
2023.11.07,"70,900",0,0.00%,"17,228,731","-1,397,392","+4,133,632","3,173,791,175",53.16%
2023.11.06,"70,900","1,300",+1.87%,"22,228,489","+1,401,147","+496,372","3,170,450,735",53.11%
2023.11.03,"69,600",100,-0.14%,"10,322,234","+14,881","+1,253,864","3,171,453,263",53.13%
2023.11.02,"69,700","1,100",+1.60%,"16,350,031","+213,313","+2,826,930","3,170,585,305",53.11%
2023.11.01,"68,600","1,700",+2.54%,"13,775,256","+2,208,177","+60,075","3,167,729,055",53.06%
