,0,1,2,3
0,202101,미  국,275,12013
1,202102,미  국,275,11212
2,202103,미  국,275,12321
3,202104,미  국,275,12944
4,202105,미  국,275,17278
5,202106,미  국,275,18159
6,202107,미  국,275,21775
7,202108,미  국,275,20561
8,202109,미  국,275,19227
9,202110,미  국,275,21607
10,202111,미  국,275,20123
11,202112,미  국,275,16805
12,202201,미  국,275,15570
13,202202,미  국,275,15845
14,202203,미  국,275,16968
15,202204,미  국,275,30882
16,202205,미  국,275,42490
17,202206,미  국,275,55444
18,202207,미  국,275,53942
19,202208,미  국,275,50299
20,202209,미  국,275,60435
21,202210,미  국,275,73560
22,202211,미  국,275,64861
23,202212,미  국,275,63352
