Writer,Content,Date,Like,Tag,Comments,Url
damee_99,보정❌진실성100%,2022-8-23,102.4K,"['#데일리메이크업', '#뷰티', '#뷰티꿀팁', '#메이크업']",395,https://www.tiktok.com/@damee_99/video/7135064730401508609?q=%EB%B7%B0%ED%8B%B0
fransua____,다이소에 이런 게 있었어…? 다이소 뷰티 꿀템 4가지 추천,11-8,1280,[],8,https://www.tiktok.com/@fransua____/video/7299003347216911634?q=%EB%B7%B0%ED%8B%B0
luadoll,Wow🤭 너무 잘됨ㅋㅋㅋ😂 IB:,2022-5-14,2.9M,"['#luabeauty', '#메이크업', '#뷰티', '#뷰티꿀팁', '#루아뷰티']",3704,https://www.tiktok.com/@luadoll/video/7097535087884897538?q=%EB%B7%B0%ED%8B%B0
bbekimha,립스틱 💄이제 치아에 안 묻겠네 Lipstickhsck 👍,6-21,836.2K,"['#틱톡뷰티', '#립스틱꿀팁', '#lipstick', '#lipstickhack']",3022,https://www.tiktok.com/@bbekimha/video/7247071432310574337?q=%EB%B7%B0%ED%8B%B0
yyesaa2w,간단한 메이크업 꿀팁들!,2022-8-14,39.3K,"['#뷰티꿀팁', '#메이크업꿀팁', '#화장꿀팁', '#추천', '#추천떠라', '#좋아요', '#08', '#05']",70,https://www.tiktok.com/@yyesaa2w/video/7131547698829757698?q=%EB%B7%B0%ED%8B%B0
scarlet.sister,대박!뭐부터 리뷰해볼까?😀❤️❤️,2022-6-2,50.5K,"['#다이소추천템', '#틱톡보고삼', '#다이소', '#다이소꿀템', '#틱톡뷰티']",279,https://www.tiktok.com/@scarlet.sister/video/7104619209245592833?q=%EB%B7%B0%ED%8B%B0
anda.channel,40초만에 엔믹스 설윤 커버메이크업🎀,2022-5-20,622.7K,"['#틱톡뷰티', '#뷰티꿀팁', '#엔믹스', '#설윤', '#커버메이크업']",2988,https://www.tiktok.com/@anda.channel/video/7099678888116096258?q=%EB%B7%B0%ED%8B%B0
inssiinssi,프라이머 떡지는거 전혀 없고!! 들뜸 없이 진짜 이쁘게 표현돼요😖❤,2022-6-28,245.2K,"['#인씨', '#틱톡뷰티', '#초간단뷰티핵', '#추천']",318,https://www.tiktok.com/@inssiinssi/video/7114195566652820738?q=%EB%B7%B0%ED%8B%B0
nana.w13,제가 좋아하는 다이소 뷰티템!! 제 파우치에 다 있는 녀석들이니까 저 믿고 구매해보세요!! 다이소 뷰티템중에 더 궁금하신건 댓글 남겨주세용 . . . . .,11-18,3494,[],44,https://www.tiktok.com/@nana.w13/video/7302714606437403906?q=%EB%B7%B0%ED%8B%B0
dyzg5b9rqqky,학생분들을 위해 가성비좋은 뷰티템들을 가져와봤습니다 😊🌸 전부 내돈내산이고 첫번째 제품 지금 세일하고있더라구요! 세일 안할때는 2만원대에요.. 저는 2만원대로구매했는데 마침 세일을 딱 해버리네요.!.!.!? 헉 그리고 롬앤 신상 보셨나요?! 진짜 전종 다 구매해버리고 싶어요 ㅜㅜ 쿠로미 마멜 딱기다려ㅕ🤦‍♀️🤦‍♀️🤦‍♀️,7-10,36.8K,[],437,https://www.tiktok.com/@dyzg5b9rqqky/video/7254128042614820098?q=%EB%B7%B0%ED%8B%B0
