Writer,Content,Date,Like,Tag,Comments,Url
shades.adult,[],4-22,15.1K,"['#shades', '#셰이즈', '#교육', '#올바른성문화', '#데이트', '#커플', '#사랑', '#fyp', '#추천', '#추천떠라']",163,https://www.tiktok.com/@shades.adult/video/7224871255525330178?q=%EA%B5%90%EC%9C%A1
_steacher.kr,[],2022-9-20,2939,"['#교육', '#성생님', '#추천']",49,https://www.tiktok.com/@_steacher.kr/video/7145393799617907970?q=%EA%B5%90%EC%9C%A1
user3srglvgokb,[],2022-8-8,61.8K,"['#금쪽이', '#오은영', '#추천', '#좋아요']",492,https://www.tiktok.com/@user3srglvgokb/video/7129338456018291970?q=%EA%B5%90%EC%9C%A1
rlasks1222,[],8-11,1007,[],15,https://www.tiktok.com/@rlasks1222/video/7265990202596805906?q=%EA%B5%90%EC%9C%A1
sae_x_folder,[],5-1,12K,[],355,https://www.tiktok.com/@sae_x_folder/video/7228158349215419650?q=%EA%B5%90%EC%9C%A1
_steacher.kr,[],2022-7-15,2700,[],59,https://www.tiktok.com/@_steacher.kr/video/7120544486991662337?q=%EA%B5%90%EC%9C%A1
_steacher.kr,[],2022-9-12,16K,"['#교육', '#성생님']",235,https://www.tiktok.com/@_steacher.kr/video/7142439364843375873?q=%EA%B5%90%EC%9C%A1
noparkgu,[],2022-12-21,39.7K,"['#틱톡교실', '#틱톡교육', '#틱톡순삭', '#추천떠라']",399,https://www.tiktok.com/@noparkgu/video/7179551409493314818?q=%EA%B5%90%EC%9C%A1
_steacher.kr,[],2022-9-21,1433,"['#교육', '#추천']",5,https://www.tiktok.com/@_steacher.kr/video/7145770656070651137?q=%EA%B5%90%EC%9C%A1
_steacher.kr,[],2022-8-29,9463,"['#교육', '#성생님']",135,https://www.tiktok.com/@_steacher.kr/video/7137246014523608322?q=%EA%B5%90%EC%9C%A1
thinks77890,[],2022-7-10,653,"['##교육', '#자녀', '#부모고민']",9,https://www.tiktok.com/@thinks77890/video/7118564117698432257?q=%EA%B5%90%EC%9C%A1
mnbvcx900223,[],10-20,70K,"['#학생', '#어린이', '#교육', '#일상']",740,https://www.tiktok.com/@mnbvcx900223/video/7292006561814269185?q=%EA%B5%90%EC%9C%A1
