Writer,Content,Date,Like,Tag,Comments,Url
gao.ri,[],10-30,11K,"['#유머', '#오늘의', '#놀아줘', '#짤', '#짤방', '#예능', '#웃긴영상', '#웃긴동영상', '#웃긴글', '#웃긴짤', '#대유잼', '#웃긴', '#ㅋㅋㅋ']",37,https://www.tiktok.com/@gao.ri/video/7295696563538496769?q=%EC%9C%A0%EB%A8%B8
findursmile3,[],10-22,21.9K,"['#유머', '#재미', '#웃긴', '#꿀잼', '#ㅋㅋ', '#ㅋㅋㅋ', '#재밌는영상', '#유머저장소']",224,https://www.tiktok.com/@findursmile3/video/7292560455887850759?q=%EC%9C%A0%EB%A8%B8
fun_video_button,[],7-27,10.4K,"['#공감', '#정보', '#애인', '#연애', '#결혼', '#유머', '#꿀잼', '#추천']",93,https://www.tiktok.com/@fun_video_button/video/7260315638441299202?q=%EC%9C%A0%EB%A8%B8
user_nowstop,[],7-6,8972,"['#고3', '#선생님', '#학교', '#1분틱톡', '#유머', '#유머영상', '#추천', '#추천떠라']",67,https://www.tiktok.com/@user_nowstop/video/7252608703235493122?q=%EC%9C%A0%EB%A8%B8
meme_snail_,[],8-15,7741,"['#현실남매', '#남매', '#웃긴짤', '#웃긴영상', '#레전드']",82,https://www.tiktok.com/@meme_snail_/video/7267471746469563656?q=%EC%9C%A0%EB%A8%B8
findursmile3,[],9-15,42K,"['#웃긴', '#꿀잼', '#유머영상', '#재밌는영상', '#유머모음', '#유머']",398,https://www.tiktok.com/@findursmile3/video/7279051979140189448?q=%EC%9C%A0%EB%A8%B8
jjarb,[],2-22,23.1K,['#유머'],147,https://www.tiktok.com/@jjarb/video/7202955387971079425?q=%EC%9C%A0%EB%A8%B8
keembann,[],9-3,11.7K,"['#tiktok', '#prankvideo', '#magicscissors', '#beach', '#웃긴영상']",269,https://www.tiktok.com/@keembann/video/7274574457618926866?q=%EC%9C%A0%EB%A8%B8
instiz.official,[],2022-1-20,39.4K,"['#홈쇼핑', '#홈쇼핑방송사고', '#홈쇼핑방송', '#유머', '#유머모음', '#접착력짱', '#슬라임', '#액괴', '#유머틱톡']",216,https://www.tiktok.com/@instiz.official/video/7055145053882256641?q=%EC%9C%A0%EB%A8%B8
get_kokoko,[],6-7,30.4K,"['#유머영상모음', '#유머영상', '#웃긴영상모음', '#유머모음', '#유머저장소', '#뭔데이거']",227,https://www.tiktok.com/@get_kokoko/video/7241861378661780754?q=%EC%9C%A0%EB%A8%B8
shorts_onetop,[],9-5,35.1K,"['#웃짤', '#funnyvideos']",897,https://www.tiktok.com/@shorts_onetop/video/7275261308092648722?q=%EC%9C%A0%EB%A8%B8
gongza__say,[],8-28,22.1K,"['#유머짤', '#유머영상', '#유머모음', '#웃긴동영상']",259,https://www.tiktok.com/@gongza__say/video/7272293486378978561?q=%EC%9C%A0%EB%A8%B8
ssw0m2,[],8-10,339,"['#웃짤', '#웃긴영상', '#갑똥냄']",12,https://www.tiktok.com/@ssw0m2/video/7265535182768180498?q=%EC%9C%A0%EB%A8%B8
humor_sekit,[],9-5,24.4K,['#유머'],331,https://www.tiktok.com/@humor_sekit/video/7275204170876062983?q=%EC%9C%A0%EB%A8%B8
healing_humor,[],10-16,93.7K,"['#유머', '#웃긴동영상', '#우정']",1152,https://www.tiktok.com/@healing_humor/video/7290454005409500423?q=%EC%9C%A0%EB%A8%B8
puremedia20,[],8-10,1574,"['#유머', '#재미']",53,https://www.tiktok.com/@puremedia20/video/7265349065972452609?q=%EC%9C%A0%EB%A8%B8
ggulzampick,[],6-28,8849,"['#fyp', '#추천', '#꿀잼', '#물풍선']",196,https://www.tiktok.com/@ggulzampick/video/7249659002672401665?q=%EC%9C%A0%EB%A8%B8
humorzzal_,[],7-26,1983,"['#섹시', '#여캠', '#bj', '#꿀잼', '#유머']",34,https://www.tiktok.com/@humorzzal_/video/7260098640432123143?q=%EC%9C%A0%EB%A8%B8
jjaltalk9696,[],7-3,53.7K,"['#추천', '#유머', '#코미디']",84,https://www.tiktok.com/@jjaltalk9696/video/7251500625689595143?q=%EC%9C%A0%EB%A8%B8
cobragallery,[],1-2,133.3K,"['#유머', '#전자담배', '#상남자', '#10대', '#학생']",1090,https://www.tiktok.com/@cobragallery/video/7183734155899849986?q=%EC%9C%A0%EB%A8%B8
00mrkim,[],7-22,57.7K,"['#귀엽다', '#울먹', '#미인', '#예쁘잖아', '#영상통화']",210,https://www.tiktok.com/@00mrkim/video/7258490144565513474?q=%EC%9C%A0%EB%A8%B8
findursmile3,[],9-18,8677,"['#웃긴', '#유머영상', '#꿀잼', '#재미있는영상']",1064,https://www.tiktok.com/@findursmile3/video/7279995078825790727?q=%EC%9C%A0%EB%A8%B8
ggobuk_humor,[],9-5,1.2M,"['#전염', '#웃음바이러스', '#박장대소', '#빵터짐', '#웃음참기', '#웃김', '#유머', '#힐링']",6145,https://www.tiktok.com/@ggobuk_humor/video/7275161721990401287?q=%EC%9C%A0%EB%A8%B8
sekit_humor,[],8-23,3356,"['#수영', '#유머', '#남친']",36,https://www.tiktok.com/@sekit_humor/video/7270384269413879058?q=%EC%9C%A0%EB%A8%B8
guio4315,[],5일 전,2093,"['#유머', '#낮과밤의소리꾼']",23,https://www.tiktok.com/@guio4315/video/7306647153038920961?q=%EC%9C%A0%EB%A8%B8
gingnanang,[],8-8,144.6K,"['#유머', '#시간순삭', '#웃긴동영상', '#코믹', '#유머영상']",853,https://www.tiktok.com/@gingnanang/video/7264940775073516818?q=%EC%9C%A0%EB%A8%B8
