Writer,Content,Date,Like,Tag,Comments,Url
oneroommake,난 요즘 이런 취미들이 좋더라.. ☝️탐나는게 있다면 프로필 링크 클릭ㄱㄱ!,7-22,20.4K,"['#자취', '#자취생', '#자취방', '#방꾸미기']",79,https://www.tiktok.com/@oneroommake/video/7258487086192266514?q=%EC%B7%A8%EB%AF%B8
insta174,"크리스마스에 솔크라 할 거 없는 사란들에게 추천,, (나도 솔크다)",2021-12-20,2103,['#추천'],9,https://www.tiktok.com/@insta174/video/7043794243105623297?q=%EC%B7%A8%EB%AF%B8
daeyeon_11,님에게 회신 “남자들이 싫어하는 여자 취미”,2022-5-12,84.8K,['#남녀'],1534,https://www.tiktok.com/@daeyeon_11/video/7096833924164291841?q=%EC%B7%A8%EB%AF%B8
lee_jaezer00,이런거 키워본 사람 있음?ㅋㄱㅋㄱㅋㄱㅋ,2022-10-11,29.9K,"['#파트너크리에이터', '#화초']",111,https://www.tiktok.com/@lee_jaezer00/video/7153156919400647937?q=%EC%B7%A8%EB%AF%B8
kkukku_diy,망한 미니물레... 그 후 6개월 뒤🔥 Mini Pottery Wheel Re-try,8-10,41.6K,"['#미니물레', '#물레', '#취미', '#꾸꾸만들기']",228,https://www.tiktok.com/@kkukku_diy/video/7265635106340064513?q=%EC%B7%A8%EB%AF%B8
saving_bbibbi,,10-31,116.6K,"['#취미', '#현금생활', '#일상', '#저축', '#저축챌린지', '#moneychallenge', '#현금바인더', '#현금챌린지']",1037,https://www.tiktok.com/@saving_bbibbi/video/7296110872831806721?q=%EC%B7%A8%EB%AF%B8
djskamsis,취미템추천!,2021-11-20,29K,"['#다이소추천템', '#다이소']",168,https://www.tiktok.com/@djskamsis/video/7032456668298497281?q=%EC%B7%A8%EB%AF%B8
danah__art,🧑‍🚀🪐🛸✨,2022-2-24,303.1K,"['#우주', '#힐링아트', '#acrylicpainting', '#galaxy', '#fyp']",537,https://www.tiktok.com/@danah__art/video/7068197039200341249?q=%EC%B7%A8%EB%AF%B8
khs49024,미술학원 안 다녔는데 괜찮나요? 사실 몇년전에 취미반?으로 한달 다녔던 적이 있었는데 선긋기 재미없어서 두세번 가고 그뒤로 안갔음..,2022-6-18,103.4K,[],1525,https://www.tiktok.com/@khs49024/video/7110243309922045186?q=%EC%B7%A8%EB%AF%B8
nasu_up,방학엔 역시 취미활동이지🎨,2022-7-10,58.3K,"['#캠퍼스크리에이터', '#여름일기', '#다이소물감']",435,https://www.tiktok.com/@nasu_up/video/7118539847630867714?q=%EC%B7%A8%EB%AF%B8
amugana_ollrayoo,📣 여기 재밌는 거 다 모였다~🌀드루와ㅣ,7-22,2069,[],27,https://www.tiktok.com/@amugana_ollrayoo/video/7258288814265797889?q=%EC%B7%A8%EB%AF%B8
