Writer,Content,Date,Like,Tag,Comments,Url
nothing_and_anything,인간관계에 너무 연연하지 말 것.,2-21,42.4K,[],935,https://www.tiktok.com/@nothing_and_anything/video/7202562332151696641?q=%EC%9D%B8%EA%B0%84%EA%B4%80%EA%B3%84
susugugu1274,인간관계 꿀팁 말해보자,2022-8-7,7242,"['#인간관계', '#꿀팁']",58,https://www.tiktok.com/@susugugu1274/video/7128790070747778305?q=%EC%9D%B8%EA%B0%84%EA%B4%80%EA%B3%84
dan0nly_4u,얘는 대체 나를 어떻게 생각하나 궁금함 (옛날에 찍은 영상 임시저장 풀기…😯),7-11,7454,"['#인간관계', '#공감', '#대인관계', '#회의감']",57,https://www.tiktok.com/@dan0nly_4u/video/7254436776750714114?q=%EC%9D%B8%EA%B0%84%EA%B4%80%EA%B3%84
jeongwon._.11,친구가 진심으로 울면서 힘들어할때 친구로서 뭘 해줘야하나요,5일 전,597,[],31,https://www.tiktok.com/@jeongwon._.11/video/7306500072223608066?q=%EC%9D%B8%EA%B0%84%EA%B4%80%EA%B3%84
user013759386390,인간관계 진짜 좆같다 힘든데 기댈사람 한명도 없고…,11-5,1716,[],57,https://www.tiktok.com/@user013759386390/video/7297950607342685458?q=%EC%9D%B8%EA%B0%84%EA%B4%80%EA%B3%84
xxweau,정서현이랑 인간관계 때문에 우는 고은서,11-15,19.4K,[],221,https://www.tiktok.com/@xxweau/video/7301676198998920449?q=%EC%9D%B8%EA%B0%84%EA%B4%80%EA%B3%84
_iloveyou626,어짜피 부질없는 인간관계,2일 전,15.5K,[],17,https://www.tiktok.com/@_iloveyou626/video/7307571902053125383?q=%EC%9D%B8%EA%B0%84%EA%B4%80%EA%B3%84
ijkqx0,99번 진심이였어도 1번의 오해로 무너질 수 있는 인간관계,11-7,6852,"['#반말하자', '#위치언급금지']",45,https://www.tiktok.com/@ijkqx0/video/7298659745110478088?q=%EC%9D%B8%EA%B0%84%EA%B4%80%EA%B3%84
xmxal,인간관계가 제일 힘든듯,2022-2-10,88.9K,[],280,https://www.tiktok.com/@xmxal/video/7062922468536765698?q=%EC%9D%B8%EA%B0%84%EA%B4%80%EA%B3%84
wisixh06,난 기댈 사람이 없어 인간관계가 지쳐 너넨 뭐 때매 힘들어? 내가 조금이나마 위로해줄게,8-27,622,[],237,https://www.tiktok.com/@wisixh06/video/7271930465848790273?q=%EC%9D%B8%EA%B0%84%EA%B4%80%EA%B3%84
slslkvvm,얘들아 내가 인간관계 깔끔하고 좋게 유지하는법 알려줄게 댓글 봐바,2022-6-6,10.7K,['#추천'],318,https://www.tiktok.com/@slslkvvm/video/7105822658037599489?q=%EC%9D%B8%EA%B0%84%EA%B4%80%EA%B3%84
untx_lxv,솔직히 나 지금 너무 힘들어,7-3,4835,"['#인간관계', '#친구관계']",322,https://www.tiktok.com/@untx_lxv/video/7251273140599409921?q=%EC%9D%B8%EA%B0%84%EA%B4%80%EA%B3%84
y05257,인간관계 말아먹은 자의 브이로그 (๑ᵔ⤙ᵔ๑),8-22,15.6K,[],198,https://www.tiktok.com/@y05257/video/7269807594246556936?q=%EC%9D%B8%EA%B0%84%EA%B4%80%EA%B3%84
