Writer,Content,Date,Like,Tag,Comments,Url
dy41fjgvusm9,"화장품, 렌즈 정보 모음",2022-6-25,51.8K,[],246,https://www.tiktok.com/@dy41fjgvusm9/video/7113051473964977409?q=%EC%A0%95%EB%B3%B4
fun_video_button,(볼륨 주의) 여러분.. 이거 흔한 자세인가요?,7-27,10.4K,"['#정보', '#애인', '#연애', '#결혼', '#유머', '#꿀잼', '#추천']",94,https://www.tiktok.com/@fun_video_button/video/7260315638441299202?q=%EC%A0%95%EB%B3%B4
steacher.kr_,이걸 먹으면 어떻게 되냐구요?!,7-19,29.4K,"['#성생님', '#성생님정보', '#성생님이알려줄게']",397,https://www.tiktok.com/@steacher.kr_/video/7257527276256906503?q=%EC%A0%95%EB%B3%B4
shortjisik,나만 몰랐던 인생 꿀팁,19시간 전,17.8K,"['#틱톡쌤', '#틱톡교실', '#정보']",384,https://www.tiktok.com/@shortjisik/video/7308322986916859138?q=%EC%A0%95%EB%B3%B4
yels061012,요청 완전 많았던 화장품 정보... !!,2022-8-26,22.1K,"['#06', '#fyp', '#추천추천추천추천추천추천추천추천추천추천']",76,https://www.tiktok.com/@yels061012/video/7136184907830807809?q=%EC%A0%95%EB%B3%B4
rankingschoolkr,한국에는 사실상 거의 없다는 MBTI 성격유형 TOP3_1,2022-9-1,108.1K,"['#mbti', '#엠비티아이', '#성격유형', '#틱톡정보']",6049,https://www.tiktok.com/@rankingschoolkr/video/7138333399101525250?q=%EC%A0%95%EB%B3%B4
shortjisik,와.. 선생님이 나를 이렇게 평가했다고요!? (확인해보세요),9-25,40.9K,"['#틱톡쌤', '#틱톡교실', '#틱톡꿀팁', '#에듀톡', '#지식']",253,https://www.tiktok.com/@shortjisik/video/7282718165149273346?q=%EC%A0%95%EB%B3%B4
rankingschoolkr,대한민국에 '진짜' 심각한 일이 닥쳤을때 듣게 된다는 죽음의 소리 TOP5_01,1-18,212K,"['#랭킹스쿨', '#죽음의소리', '#재난문자']",1559,https://www.tiktok.com/@rankingschoolkr/video/7189933992244727041?q=%EC%A0%95%EB%B3%B4
boseoki4990,🌈진짜로 요즘 애들 이 단어 모른다고? 테스트해 보세요~☺️ 저는 옛날사람인데 두개 몰라요 ㅜ,7-2,11.3K,"['#재미', '#꿀팁']",607,https://www.tiktok.com/@boseoki4990/video/7251073119945854210?q=%EC%A0%95%EB%B3%B4
shoppable_official,언니!! 정보좀요ㅠㅠ해본 사람 잠깐🙋🏻‍♀️,9-5,101,['#쇼핑'],0,https://www.tiktok.com/@shoppable_official/video/7275199376891464961?q=%EC%A0%95%EB%B3%B4
shortjisik,새집으로 이사 왔더니 벌어진 일.. (짧지식 집 공개),8-14,18.2K,"['#틱톡교실', '#틱톡꿀팁', '#에듀톡', '#지식', '#상식']",54,https://www.tiktok.com/@shortjisik/video/7267132744113638658?q=%EC%A0%95%EB%B3%B4
youtube.araboja,‘이것’만 마셨을 뿐인데 키가 202cm까지 자란 청년,6-19,33.4K,"['#지식', '#정보']",401,https://www.tiktok.com/@youtube.araboja/video/7246189206207319297?q=%EC%A0%95%EB%B3%B4
1qnswjdqh,이거 진짜 어이 없어 올립니다,21시간 전,492,"['#유머', '#이슈', '#건강', '#추천', '#엔진누유', '#자동차엔진관리']",37,https://www.tiktok.com/@1qnswjdqh/video/7308291312116075794?q=%EC%A0%95%EB%B3%B4
puck__you__,,2022-7-4,3637,"['#skvs넥센', '#레전드야구경기']",57,https://www.tiktok.com/@puck__you__/video/7116170674212818178?q=%EC%A0%95%EB%B3%B4
jam.ma.young,,2022-12-22,64.5K,"['#fyp', '#일상', '#정보', '#꿀팁', '#생활', '#유머', '#지식', '#상식']",984,https://www.tiktok.com/@jam.ma.young/video/7179620898679344386?q=%EC%A0%95%EB%B3%B4
dachaeroom,💜여름뮤트 블러셔 추천 (1편)💜,7-5,214,"['#블러셔', '#여름뮤트', '#여름뮤트라그시']",0,https://www.tiktok.com/@dachaeroom/video/7252280994923891969?q=%EC%A0%95%EB%B3%B4
gang_sangdo,철제 통에 갇혀 사는 삶,10-16,30.4K,"['#실화', '#정보', '#지식', '#shorts', '#갱상도']",278,https://www.tiktok.com/@gang_sangdo/video/7290320949314931969?q=%EC%A0%95%EB%B3%B4
honeyfundictionary,일본 여고생들에게 인기 폭발중인 변태 아저씨,8-9,6005,['#정보'],76,https://www.tiktok.com/@honeyfundictionary/video/7265114079298129153?q=%EC%A0%95%EB%B3%B4
fun_video_clips,분명히 당신이 잘 모르는 정보들,7-1,1923,"['#꿀팁', '#레전드']",25,https://www.tiktok.com/@fun_video_clips/video/7250364518906318087?q=%EC%A0%95%EB%B3%B4
shortjisik,아 이거 제가 뀐거 아닙니다 (뿡..),10-10,9434,"['#틱톡쌤', '#에듀톡', '#지식', '#상식', '#정보']",73,https://www.tiktok.com/@shortjisik/video/7288271387662355713?q=%EC%A0%95%EB%B3%B4
youtube.araboja,남자 꼬시는 게 세상에서 제일 쉽다는 139kg 여성,4-10,9920,['#정보'],115,https://www.tiktok.com/@youtube.araboja/video/7220218185516190977?q=%EC%A0%95%EB%B3%B4
jeongmisae,야동이 불법인 이유,5-15,15.8K,[],279,https://www.tiktok.com/@jeongmisae/video/7233336690318789890?q=%EC%A0%95%EB%B3%B4
yerin01231,"춤이나 춰 ""옷정보 : 인스타 freeforsize""",10-29,57.8K,"['#협찬', '#관리자님추천뜨게해주세요']",431,https://www.tiktok.com/@yerin01231/video/7295308359027150082?q=%EC%A0%95%EB%B3%B4
funfun__time,당뇨 걸린 사람 손 이렇게 생김,5일 전,10.1K,"['#당뇨', '#건강', '#추천떠라']",512,https://www.tiktok.com/@funfun__time/video/7306426983888522497?q=%EC%A0%95%EB%B3%B4
pleasist.com,올리브영에서 이거 본 적 있으신분??,2-16,2117,"['#성생활정보', '#올리브영러브젤', '#아스트로글라이드', '#러브젤후기']",43,https://www.tiktok.com/@pleasist.com/video/7200684588031642882?q=%EC%A0%95%EB%B3%B4
_30kg_,뱃살부자에서 조금 덜 부자 되보기💘 - 👙착장정보👙 상의: [샵사이다] 패치워크 드로스트링 쇼트 슬리브 탑 - 블랙 2XL 하의: [샵사이다] 매듭 랩 미니스커트 2XL 부츠: [제이스타일] 에서 예전에 샀는데!!!! 헐!!! 이거 단종 되었나봅니다…😭 하지만 빅사이즈로 편하게 신는 신발들이 많으니 쇼핑몰 추천해요!!🕺 - #빅,7-3,31.5K,['#빅'],152,https://www.tiktok.com/@_30kg_/video/7251602945215597832?q=%EC%A0%95%EB%B3%B4
shortjisik,98%가 모르는 이렇게 생긴 점의 위험성,4-16,37.3K,"['#틱톡쌤', '#틱톡꿀팁', '#에듀톡', '#지식', '#상식', '#정보']",411,https://www.tiktok.com/@shortjisik/video/7222607715909094657?q=%EC%A0%95%EB%B3%B4
arooo.co.kr,[],4-23,5210,[],36,https://www.tiktok.com/@arooo.co.kr/video/7222886768561999105?q=%EC%A0%95%EB%B3%B4
mynameisminji_,속옷 정보 다들 물어보시길래 한 번에 말씀드릴게요 댓글에 몇 번 적어둔 적도 있었는데 속옷을 제가 직접 사 봤을 땐 다 사이즈가 없거나 안 맞았었고 아직 제 컵 사이즈도 셀프로 말곤 재 본 적이 없어서 정확한 사이즈를 몰라요 😕 그래서 지금 항상 입고 있는 속옷은 저희 엄마가 그냥 아무 데나 가서 큰 거 사 오신 거 입었던 거라 정보를 딱 말씀드리기는 어려워요 지나가다가 그냥 사 오셨던 거라 브랜드도 아니라 이름도 없습니다 😓,4-12,21.1K,[],92,https://www.tiktok.com/@mynameisminji_/video/7221039943013960962?q=%EC%A0%95%EB%B3%B4
very_good_tip,해당 증상이 하나라도 있다면 병원가서 검사 받아야 합니다 #실명 #망막박리 #망막 #눈 #꿀팁 #정보 #생존 #병원 #안과,7-28,68.4K,"['#실명', '#망막박리', '#망막', '#눈', '#꿀팁', '#정보', '#생존', '#병원', '#안과']",2125,https://www.tiktok.com/@very_good_tip/video/7260303672855383303?q=%EC%A0%95%EB%B3%B4
1qnswjdqh,여기 제발 찢지마세요 반대로 해야 인생이 개편해집니다,5일 전,604,"['#꿀잼', '#이슈', '#정보']",18,https://www.tiktok.com/@1qnswjdqh/video/7306411971740552456?q=%EC%A0%95%EB%B3%B4
youtube.araboja,매일 고기를 섭취하던 남성의 눈에서 충격적인 것이 발견됐습니다,3-25,24.9K,"['#에듀톡', '#지식', '#정보']",182,https://www.tiktok.com/@youtube.araboja/video/7213308019730418946?q=%EC%A0%95%EB%B3%B4
1qnswjdqh,요즘 엄빠들이 낳자마자 달려가는 이유,11-20,4656,['#정보'],312,https://www.tiktok.com/@1qnswjdqh/video/7303238991615102215?q=%EC%A0%95%EB%B3%B4
hhwww_,님에게 회신 옷 정보 대령이요 ㅎ3ㅎ 🤍🤍,2021-8-11,5897,[],40,https://www.tiktok.com/@hhwww_/video/6995177676520557826?q=%EC%A0%95%EB%B3%B4
shortjisik,점점 커지고 있는 서울 한강의 무인도 (진짜임),7-11,29.1K,"['#틱톡교실', '#틱톡꿀팁', '#에듀톡', '#지식', '#상식']",474,https://www.tiktok.com/@shortjisik/video/7254514671661665537?q=%EC%A0%95%EB%B3%B4
bunny.seol,청순 여신 할게요 오늘.. 가볍고 데일리로 입기 좋은 데일리 목폴라 🤍 옷 정보: 에이블리 “리아” 검색해주세요!,10-7,46.3K,[],190,https://www.tiktok.com/@bunny.seol/video/7287135103745068296?q=%EC%A0%95%EB%B3%B4
boseoki4990,본인이 예쁜지 안예쁜지 구분하는 방법 (여자편 test),1-26,4944,"['#정보', '#꿀팁', '#캘리그라피', '#예쁜여자들특징']",302,https://www.tiktok.com/@boseoki4990/video/7192946640213331202?q=%EC%A0%95%EB%B3%B4
keith06230,패딩 정보 알려드립니다,3-11,180.9K,[],1359,https://www.tiktok.com/@keith06230/video/7209152455517408513?q=%EC%A0%95%EB%B3%B4
lyun1024,알아두면 쓸모있는 생활꿀팁 2가지!,8-16,5809,"['#살림꿀팁', '#살림노하우', '#생활꿀팁', '#살림팁', '#꼼수살림']",59,https://www.tiktok.com/@lyun1024/video/7267896127960190209?q=%EC%A0%95%EB%B3%B4
shortjisik,한국인들만 7년째 모르는 구글 스마트폰,5-1,17.1K,"['#틱톡쌤', '#틱톡꿀팁', '#에듀톡', '#지식', '#상식', '#정보']",256,https://www.tiktok.com/@shortjisik/video/7228170481407413506?q=%EC%A0%95%EB%B3%B4
to_charminggg,님에게 회신 본인이 인스타에 정보 써둔거 찾기 귀찮아서 안찾은걸 제탓하지마세용!!,2021-11-12,2457,[],19,https://www.tiktok.com/@to_charminggg/video/7029638391666871553?q=%EC%A0%95%EB%B3%B4
serenitybyirene,나한테 반하지마?! 두나룩 정보,11-5,263.5K,"['#이두나패션', '#이두착장', '#플러팅룩', '#doona']",669,https://www.tiktok.com/@serenitybyirene/video/7297798776025025800?q=%EC%A0%95%EB%B3%B4
gang_sangdo,따개비가 몸에서 자란다?! 자신있는 사람만 시청 ※환공포증 주의※,9-6,1756,"['#진실혹은거짓', '#SHORTS', '#정보', '#유머']",113,https://www.tiktok.com/@gang_sangdo/video/7275359647979113729?q=%EC%A0%95%EB%B3%B4
