Writer,Content,Date,Like,Tag,Comments,Url
1minsangsic,돈을 가장 많이 버는 직업 top 10,2022-4-25,32.5K,"['#상식', '#에듀톡', '#틱톡쌤', '#지식']",813,https://www.tiktok.com/@1minsangsic/video/7090537330691329282?q=%EC%A7%81%EC%97%85
s_in_0y,스무살 만족스러운 직업ㅎㅎ,2022-6-12,10.8K,[],47,https://www.tiktok.com/@s_in_0y/video/7108272520536657153?q=%EC%A7%81%EC%97%85
0j.7102,난 무슨 직업이 어울려,7-1,3402,"['#추천', '#06', '#07', '#08']",139,https://www.tiktok.com/@0j.7102/video/7250782329524800776?q=%EC%A7%81%EC%97%85
iam_egg__,걸음걸이보면 직업 맞출 수 있음ㅋㅋ,10-12,65.4K,['#미용사'],900,https://www.tiktok.com/@iam_egg__/video/7288990288553594130?q=%EC%A7%81%EC%97%85
roadtown_cover,MBTI 유형별 어울리는 직업👨🏻‍⚕️,2-17,19.4K,"['#mbti', '#틱톡뮤직', '#파트너크리에이터', '#ENFP', '#enfj', '#infp', '#isfj']",904,https://www.tiktok.com/@roadtown_cover/video/7201046097979034881?q=%EC%A7%81%EC%97%85
utzzaldong,유튜브는 더 재밌어요! 프로필에 링크 있음!,2022-2-7,71.8K,['#웃짤동'],1622,https://www.tiktok.com/@utzzaldong/video/7061925139365072129?q=%EC%A7%81%EC%97%85
su_yeoni,치과위생사는 어떤 직업 ??,8-29,7320,[],350,https://www.tiktok.com/@su_yeoni/video/7272393402434555144?q=%EC%A7%81%EC%97%85
gajokidoejura,독특하고 예쁜 인스타 카테고리를 찾는다면 - 💖✨,2022-7-18,16.8K,"['#인스타꾸미기', '#인스타스토리꾸미기']",59,https://www.tiktok.com/@gajokidoejura/video/7121635513504713986?q=%EC%A7%81%EC%97%85
youneedbrave,100억 버는 트럭 운전사,6-25,55.2K,[],416,https://www.tiktok.com/@youneedbrave/video/7248599305068514561?q=%EC%A7%81%EC%97%85
boseoki4990,미래의 유망직업 best 10,1-4,72,"['#정보', '#꿀팁', '#직업추천', '#캘리그라피', '#추천', '#손글씨', '#추천떠라제발']",0,https://www.tiktok.com/@boseoki4990/video/7184581129016462594?q=%EC%A7%81%EC%97%85
joseonboy1989,님에게 회신 제 직업이 뭔지 궁금하셨군요 인간?,2021-9-24,10.8K,"['#조선남자대길이', '#회신영상', '#틱톡순삭']",323,https://www.tiktok.com/@joseonboy1989/video/7011379329993166081?q=%EC%A7%81%EC%97%85
1miunte_topic,최근일본여성들의 인기직업,2022-11-16,8938,"['#1분토픽', '#일본', '#상식', '#지식', '#틱톡순삭']",164,https://www.tiktok.com/@1miunte_topic/video/7166478387505089793?q=%EC%A7%81%EC%97%85
graycity_company,30대 초에 100억 건물 짓는 소름돋는 이 남자의 직업,21시간 전,480,"['#그레이시티', '#탈모', '#smp', '#추천']",22,https://www.tiktok.com/@graycity_company/video/7308297618298277122?q=%EC%A7%81%EC%97%85
aydenkangtiktok,월 1억 벌 수 있는 세 가지 직종!,1-23,4362,"['#억대연봉', '#직업', '#추천', '#꿀팁', '#동기부여', '#fyp']",106,https://www.tiktok.com/@aydenkangtiktok/video/7191807041361448194?q=%EC%A7%81%EC%97%85
song8837_,,9-28,43.7K,"['#과거추억', '#메이크업하면서썰푼다', '#틱톡뷰티']",496,https://www.tiktok.com/@song8837_/video/7283725236472663297?q=%EC%A7%81%EC%97%85
dreamcoach2,인생직업 찾는 방법,10-28,174,"['#인생조언', '#직업', '#직장', '#자기계발', '#드림코치', '#이창현강사']",1,https://www.tiktok.com/@dreamcoach2/video/7294890067686870280?q=%EC%A7%81%EC%97%85
yuthika85,ฉันรักเค้า เธอเก่งมากก 💕 ล้มลุกคลุกคลาน,11-12,469,"['#ชัชชุอรโมกศรี', '#บุ๋มบิ๋มชัชชุอร', '#ชัชชุอรลีกญี่ปุ่น', '#volleyball']",7,https://www.tiktok.com/@yuthika85/video/7300433795390409990?q=%EC%A7%81%EC%97%85
jye__log,간호사 장점도 많다구!!😭,8-4,1968,"['#간호사', '#nurse', '#간호사장점']",280,https://www.tiktok.com/@jye__log/video/7263320696359587080?q=%EC%A7%81%EC%97%85
seulkigram,직업 만족도가 높은 편입니다.,2-16,27.4K,"['#어린이집', '#보육교사', '#추천', '#fyp', '#fypシ']",295,https://www.tiktok.com/@seulkigram/video/7200756525063785730?q=%EC%A7%81%EC%97%85
