Writer,Content,Date,Like,Tag,Comments,Url
simonmedia141,슬프냐? 어디감?,2일 전,803,"['#슬프냐', '#어디감']",15,https://www.tiktok.com/@simonmedia141/video/7307850021360258311?q=%EB%AF%B8%EB%94%94%EC%96%B4
_in_nout,과제 하기싫어 엉어어엉엉엉 미디어관 해시태그도 만들어줘,2022-10-12,44.6K,['#미대생'],63,https://www.tiktok.com/@_in_nout/video/7153338919235439873?q=%EB%AF%B8%EB%94%94%EC%96%B4
dancersona,오늘 크리에이터 미디어대전 다녀왔습니다🤤🩷 Chúc ngày moi hanh phúc 🙋‍♀️💛 (dc:,8-4,54.7K,[],511,https://www.tiktok.com/@dancersona/video/7263388544905923841?q=%EB%AF%B8%EB%94%94%EC%96%B4
dddamchae,미디어에 나오는 MZ들 vs 실제 MZ인 나의 모습,2-21,24.6K,[],123,https://www.tiktok.com/@dddamchae/video/7202569574716345602?q=%EB%AF%B8%EB%94%94%EC%96%B4
shinheungjae,1등미디어,2019-3-31,12.1K,"['#개그맨', '#울산', '#유튜버', '#문과1등', '#뒤에서1등', '#테니스1등']",189,https://www.tiktok.com/@shinheungjae/video/6674032542414376194?q=%EB%AF%B8%EB%94%94%EC%96%B4
withyb0220,,11-5,1,"['#KUSF', '#틱톡스포츠', '#대학스포츠', '#러너']",0,https://www.tiktok.com/@withyb0220/video/7297986697931869442?q=%EB%AF%B8%EB%94%94%EC%96%B4
pickstival,"초대형 무료 미디어아트 축제?! ⠀ 수원 화성에서 열린 미디어아트 축제입니다. 다양한 체험과 수많은 포토존, 창룡문에 쏘는 환상적인 미디어 파사드 공연까지! ⠀ @나랑 같이 보러 가자! 초대형 미디어아트같이 보러 갈 친구 태그! ⠀ 더 재미있게 즐기실 수 있는 꿀팁 3가지를 영상에 소개해 드렸으니, 꼭 확인 후 가셔서 더 멋지게 즐기고 오세요🫶 ⠀ 📍수원 화성 미디어아트 🗓️ 2023.10.06 ~ 2023.11.04 ⏰ 오후 7시 ~ 오후 10시 ✨ 미디어 파사드 : 7시 / 7시 40분 / 8시 20분 / 9시 / 9시 40분 총 5회 공연 📍 창룡문 일원 ⠀ 🎥 촬영 :",10-16,603,[],17,https://www.tiktok.com/@pickstival/video/7290460544086052098?q=%EB%AF%B8%EB%94%94%EC%96%B4
user8526635747462,[],7-14,36.3K,[],70,https://www.tiktok.com/@user8526635747462/video/7255578095460027650?q=%EB%AF%B8%EB%94%94%EC%96%B4
chengdamunni,여기 나오는 크리에이터분들 누구일까요 🥰아시는분태그해보세요😊,2022-8-6,48.1K,"['#청담언니', '#요리하는메이크업아티스트']",949,https://www.tiktok.com/@chengdamunni/video/7128727055704886530?q=%EB%AF%B8%EB%94%94%EC%96%B4
_.yu.nini._,Mấy chị bình tĩnh,8-10,16K,"['#Jenniekim', '#제니']",80,https://www.tiktok.com/@_.yu.nini._/video/7265678616548085000?q=%EB%AF%B8%EB%94%94%EC%96%B4
hyo.boss,8월5일 토요일 1시~2시 효보스 보러올사람~?🧚🏻‍♀️ 여러분 2023 크리에이터 미디어대전 in 인천에서 효보스가 ASMR 쇼를 진행합니다🩷 송도 컨벤시아 에서 열리니깐 다들 오셔서 퀴즈도 맞추고 선물도 받아가세용~~!!,8-3,40.1K,[],1353,https://www.tiktok.com/@hyo.boss/video/7263028219257933057?q=%EB%AF%B8%EB%94%94%EC%96%B4
usertg19e2u5j4,,2019-3-6,26.6K,"['#일등미디어', '#문과일등', '#문과1등', '#이그젝틀리', '#뒤에서일등', '#김성기', '#이과1등', '#주작송']",508,https://www.tiktok.com/@usertg19e2u5j4/video/6664837686689402114?q=%EB%AF%B8%EB%94%94%EC%96%B4
hankirin,영상으로 체형까지 보정 되는 도른 앱 소개합니다 😳🪄 소셜 미디어가 페이크인 이유 납득 완…,8-9,226,"['#ad', '#prettyupapp']",2,https://www.tiktok.com/@hankirin/video/7265282075345898753?q=%EB%AF%B8%EB%94%94%EC%96%B4
0.0ees,K-Pop 기획사별 시가총액 변화출처:데이터 다람쥐 #,2022-6-2,205.7K,['#'],4119,https://www.tiktok.com/@0.0ees/video/7104578483531123969?q=%EB%AF%B8%EB%94%94%EC%96%B4
luvdia_1113,유리리 취조,2022-11-9,44.6K,"['#틱톡버츄얼', '#버튜버', '#유리리', '#레벨오']",225,https://www.tiktok.com/@luvdia_1113/video/7163925213413985537?q=%EB%AF%B8%EB%94%94%EC%96%B4
luvdia_1113,음원을 확인해주세요! 🤣,2022-11-19,32K,"['#틱톡버츄얼', '#버튜버', '#이아니', '#luvdia', '#릿미디어', '#레벨오', '#러브다이아']",460,https://www.tiktok.com/@luvdia_1113/video/7167603163866991874?q=%EB%AF%B8%EB%94%94%EC%96%B4
hankyung.com,"'학습 시간보다 길다'…어린이, 하루에 미디어 얼마나 볼까 [1분뉴스] #미디어 #학습시간 #동영상시청 #어린이",10-30,49,"['#미디어', '#학습시간', '#동영상시청', '#어린이']",16,https://www.tiktok.com/@hankyung.com/video/7295610598014979330?q=%EB%AF%B8%EB%94%94%EC%96%B4
hyesoo86,,9-29,5417,"['#부여', '#문화유산', '#미디어아트', '#trungthu2023', '#xuhướng', '#🥰🥰🥰', '#trending', '#추석2023']",13,https://www.tiktok.com/@hyesoo86/video/7284215679094459666?q=%EB%AF%B8%EB%94%94%EC%96%B4
