Writer,Content,Date,Like,Tag,Comments,Url
aes.the.tic_00,님에게,2022-2-28,7767,"['#답변', '#fyp', '#foryou', '#감성', '#추천']",298,https://www.tiktok.com/@aes.the.tic_00/video/7069643004096564506?q=%EC%9E%A5%EC%86%8C
shades.adult,아찔한 XX 장소 BEST 5,10-31,4785,"['#셰이즈', '#연애', '#05']",256,https://www.tiktok.com/@shades.adult/video/7296064585386233095?q=%EC%9E%A5%EC%86%8C
mico_144,스즈메의 문단속 실제장소 갔다왔어요 대박😳,3-20,238.9K,[],3152,https://www.tiktok.com/@mico_144/video/7212581473201753346?q=%EC%9E%A5%EC%86%8C
.honeytip,CG같이 예쁘다는 신비한 실제 장소!💙✨,2021-6-21,14.4K,"['#신기', '#재미', '#유머', '#꿀팁', '#정보', '#꿀정보']",126,https://www.tiktok.com/@.honeytip/video/6976091218832870658?q=%EC%9E%A5%EC%86%8C
hamsin0130,명품 브랜드 50% 저렴하게 살 수 있는 비밀 장소 #구찌 #나이키,7-17,26.5K,"['#구찌', '#나이키', '#꿀팁']",82,https://www.tiktok.com/@hamsin0130/video/7256702285097618690?q=%EC%9E%A5%EC%86%8C
flory.__,수져미x트리에 미치다...🎄,18시간 전,486,"['#광주카페', '#카페투어', '#트리명소', '#트리맛집', '#광주트리카페', '#광주데이트']",6,https://www.tiktok.com/@flory.__/video/7308354892383489282?q=%EC%9E%A5%EC%86%8C
na_troll,예...?,11-9,58.3K,[],438,https://www.tiktok.com/@na_troll/video/7299373414828100865?q=%EC%9E%A5%EC%86%8C
mzbo_ok,귀신 1도 안무서움ㅋㅋㅋ 오늘 불키고 자야지💡,2022-7-2,12.7K,"['#에듀톡', '#틱톡교실', '#틱톡쌤']",741,https://www.tiktok.com/@mzbo_ok/video/7115775235969862914?q=%EC%9E%A5%EC%86%8C
puyapuya1128,혼자 24시간을 보낼 곳은?,2021-4-14,68.2K,"['#무서운', '#장소', '#24시간', '#추천떠라']",7222,https://www.tiktok.com/@puyapuya1128/video/6951002689996147969?q=%EC%9E%A5%EC%86%8C
sangwoo070321,찍은 장소,2021-4-24,27.7K,['#경소'],528,https://www.tiktok.com/@sangwoo070321/video/6954691155636309250?q=%EC%9E%A5%EC%86%8C
