Writer,Content,Date,Like,Tag,Comments,Url
user2930334999939,다들 어디지역에서 살아요?,7-2,1298,[],6829,https://www.tiktok.com/@user2930334999939/video/7251130170822675713?q=%EC%A7%80%EC%97%AD
molang001,요기에 여라분들 살고계시는 지역있으면 하트좀요,2020-12-4,34.3K,"['#대한민국', '#지역모음']",6910,https://www.tiktok.com/@molang001/video/6902262486624472321?q=%EC%A7%80%EC%97%AD
iooooood9,님에게 회신 우리나라에서 위험한 지역,2021-10-26,59.6K,"['#유명해지고싶다', '#이번영상도추천띄어주세여']",2290,https://www.tiktok.com/@iooooood9/video/7023188287896505601?q=%EC%A7%80%EC%97%AD
07_.hj,일찐 많은 지역 ㅇㄷ,2022-1-2,64.3K,"['#일찐무리', '#추천']",5128,https://www.tiktok.com/@07_.hj/video/7048436316350057730?q=%EC%A7%80%EC%97%AD
do_you_nkow_this,살인이 가장 많이 일어나는 지역 TOP10,8-17,2061,[],290,https://www.tiktok.com/@do_you_nkow_this/video/7268256047981268226?q=%EC%A7%80%EC%97%AD
3proshorts,세 지역이 합쳐진 지금의 아산_#삼프로 #주식 #부동산 #재산 #추천 #fyp,8-18,192,"['#주식', '#부동산', '#재산', '#추천', '#fyp']",14,https://www.tiktok.com/@3proshorts/video/7268475335262358786?q=%EC%A7%80%EC%97%AD
s_h_1204,우리 지역은 눈 온당☃️☃️☃️🎄🎄,11-15,30.2K,['#추천떠라'],3835,https://www.tiktok.com/@s_h_1204/video/7301507299137408263?q=%EC%A7%80%EC%97%AD
l_obe8,일반고 배정 나왔는데 교육청에 민원 넣으면 같은 지역에서 원하는 곳 갈 수 있음?,2-3,15.2K,['#07'],218,https://www.tiktok.com/@l_obe8/video/7195918273685228801?q=%EC%A7%80%EC%97%AD
dy7ituftklgm,와 구름들이 정말 이쁘당.. 하나라도 실제로 본적 있나용??,2022-3-1,50.1K,[],1181,https://www.tiktok.com/@dy7ituftklgm/video/7069945897546812674?q=%EC%A7%80%EC%97%AD
painting187,이 영상에서 여러분들 지역이 나오나요??,2020-11-29,121.3K,"['#우리나라지역', '#우리나라지역', '#추천', '#노가다편집']",21.6K,https://www.tiktok.com/@painting187/video/6900418509910609154?q=%EC%A7%80%EC%97%AD
