Writer,Content,Date,Like,Tag,Comments,Url
0_jun.e,연차별 수중전축구 유형 다른유형이 있다면 댓글 ㄱㄱ,7-6,48.4K,"['#수중축구', '#축구선수', '#선출', '#추천']",364,https://www.tiktok.com/@0_jun.e/video/7252607294351871234?q=%EC%8A%A4%ED%8F%AC%EC%B8%A0
bottle_hun,,9-29,108K,"['#KUSF', '#대학스포츠', '#러너', '#틱톡스포츠', '#테이핑']",239,https://www.tiktok.com/@bottle_hun/video/7284183307196140807?q=%EC%8A%A4%ED%8F%AC%EC%B8%A0
0_jun.e,리오널쉐리vs빵준 둘다폼미쳤다,2-17,24.6K,"['#FYP', '#futbol']",365,https://www.tiktok.com/@0_jun.e/video/7201083761679813889?q=%EC%8A%A4%ED%8F%AC%EC%B8%A0
yyy_judo,님에게 회신 : 차올리기 하는 법!!🤩,2022-11-25,351.3K,"['#유도', '#judo', '#용인대학교', '#용용용', '#틱톡스포츠']",694,https://www.tiktok.com/@yyy_judo/video/7169812248146332929?q=%EC%8A%A4%ED%8F%AC%EC%B8%A0
team1llusion,여러분은 어디까지 가나요??? 😱 What's your level?,2022-11-17,143.7K,"['#틱톡스포츠', '#파트너크리에이터']",308,https://www.tiktok.com/@team1llusion/video/7166956389657627905?q=%EC%8A%A4%ED%8F%AC%EC%B8%A0
kusf_hammi,| 나만 콕 주울 줄 몰라..? | 배드민턴 1일차 VS 10년차 콕 줍는 방법.,2022-3-24,44K,"['#KUSF', '#한국대학스포츠협의회', '#대학스포츠']",352,https://www.tiktok.com/@kusf_hammi/video/7078332524010687745?q=%EC%8A%A4%ED%8F%AC%EC%B8%A0
leetokki,VRT training,2-20,90K,"['#파워리프팅', '#틱톡스포츠', '#데드리프트', '#파트너크리에이터', '#']",1156,https://www.tiktok.com/@leetokki/video/7202204907284270338?q=%EC%8A%A4%ED%8F%AC%EC%B8%A0
pokerlove9917,"섹시하네,,,",8-17,3438,"['#몸매', '#섹시', '#포커', '#텍사스홀덤']",7,https://www.tiktok.com/@pokerlove9917/video/7268158740195446018?q=%EC%8A%A4%ED%8F%AC%EC%B8%A0
yyy_judo,빗당겨치기 들어가는 3가지 방법! / Three Ways to Tai-Otoshi🤩,2022-12-16,284K,"['#추천', '#fyp', '#유도', '#judo', '#용인대학교', '#용용용']",2379,https://www.tiktok.com/@yyy_judo/video/7177679970884455681?q=%EC%8A%A4%ED%8F%AC%EC%B8%A0
sportsmug,분명히 인천의 찬스였는데...,2021-4-30,211.8K,"['#sports', '#sportsmug', '#kleague', '#k리그', '#스포츠머그', '#스머이런k리그']",1304,https://www.tiktok.com/@sportsmug/video/6956809031046499586?q=%EC%8A%A4%ED%8F%AC%EC%B8%A0
whats._.mean,제주도민만 즐길 수 있는 힐링 스포츠,2022-9-19,39.6K,"['#제주', '#뭐랭하맨', '#제주어', '#배드민턴']",383,https://www.tiktok.com/@whats._.mean/video/7145019191316270337?q=%EC%8A%A4%ED%8F%AC%EC%B8%A0
jokguking,실제 족구경기에서 나온 변칙기술,2022-5-21,56.7K,"['#틱톡스포츠', '#운동에진심', '#football', '#족구의정석', '#공격기술']",91,https://www.tiktok.com/@jokguking/video/7100005809966320897?q=%EC%8A%A4%ED%8F%AC%EC%B8%A0
mmkeditsoficial,Skill or Luck? 🍀,11-21,746.7K,"['#football', '#skillorluck']",1048,https://www.tiktok.com/@mmkeditsoficial/video/7303701188304784646?q=%EC%8A%A4%ED%8F%AC%EC%B8%A0
yi.minie,Nín thở theo luôn á 😤😤,2021-10-19,3.1M,"['#bts', '#jhope', '#Jimin', '#sport', '#idol', '#bangtan', '#fyp', '#xh', '#tt', '#edit']",24.2K,https://www.tiktok.com/@yi.minie/video/7020738944211914011?q=%EC%8A%A4%ED%8F%AC%EC%B8%A0
kimdaehyun_pt,님에게 회신 😉 이런 방법은 어떤가요???,3-9,25.4K,"['#김대현트레이너', '#틱톡스포츠', '#댓글회신']",218,https://www.tiktok.com/@kimdaehyun_pt/video/7208425808543616258?q=%EC%8A%A4%ED%8F%AC%EC%B8%A0
0_jun.e,5초안에 골넣기 챌린지 누가가장 잘찼나요 ?,2022-12-20,44.3K,[],668,https://www.tiktok.com/@0_jun.e/video/7179132454874156289?q=%EC%8A%A4%ED%8F%AC%EC%B8%A0
yang_0.0_,,2021-7-7,62.1K,"['#KUSF', '#러너', '#대학스포츠', '#틱톡스포츠', '#추천', '#운동하는남자', '#운동하는여자', '#육상', '#해머던지기']",1624,https://www.tiktok.com/@yang_0.0_/video/6981834704773188866?q=%EC%8A%A4%ED%8F%AC%EC%B8%A0
shaketwins,많이 먹은자 이운동으로 운동하자구요😃💪,2022-12-27,38.8K,"['#틱톡스포츠', '#틱톡파트너크리에이터']",340,https://www.tiktok.com/@shaketwins/video/7181689036023631106?q=%EC%8A%A4%ED%8F%AC%EC%B8%A0
0_jun.e,02년vs23 어디가더 끌려? 댓글ㄱㄱ,3-27,29.3K,"['#추천', '#fyp']",1340,https://www.tiktok.com/@0_jun.e/video/7215123700574653697?q=%EC%8A%A4%ED%8F%AC%EC%B8%A0
joung2222,완벽했다.📹,3-13,786.5K,['#틱톡스포츠'],11.3K,https://www.tiktok.com/@joung2222/video/7209961325508775169?q=%EC%8A%A4%ED%8F%AC%EC%B8%A0
